excel_row,measure_id,measure_name,bau_membership,fast_track_membership,matrix_status,verified_project_status,matsim_representation,evidence_file,remaining_action,methodological_limitation
"5","XLSX_ROW_05","Autonomes Fahren im ÖPNV","no","yes","included_in_GTFS2037=no; in_MATSim=indirekt berücksichtigen","not_modelled_by_design","documentation only","docs/methodology/scenario_implementation_register.md","No technical action under the approved scope; require a quantified service effect before reconsideration.","Automation has no independent passenger-side MATSim effect; no frequency, running-time or capacity delta is specified."
"6","XLSX_ROW_06","Fußgängerzonen","no","yes","included_in_GTFS2037=no; in_MATSim=indirekt berücksichtigen","implemented_directly","Fast Track car-network mode restriction on 13 specified links","original-input-data/mvv_gtfs_2037/fast_track_pedestrian_zone_links.csv; src/main/java/org/matsim/project/prepare/FastTrackPedestrianZones.java; src/test/java/org/matsim/project/prepare/FastTrackPedestrianZonesTest.java","No further technical action for the approved car-access representation.","Pedestrian amenity, greening and differentiated access rules are not represented."
"7","XLSX_ROW_07","Mobility Hubs","no","yes","included_in_GTFS2037=no; in_MATSim=indirekt berücksichtigen","represented_indirectly","existing Fast Track minimalTransferTimes reduced at 12 approved hubs","original-input-data/fast_track_2040_sources/mobility_hubs/approved_mobility_hubs.csv; src/main/java/org/matsim/project/prepare/FastTrackMobilityHubs.java; src/test/java/org/matsim/project/prepare/FastTrackMobilityHubsTest.java","No further implementation step; later sensitivity analysis and common mode-choice calibration are analytical tasks.","Transfer-time reductions proxy only the PT interchange effect; shared mobility, parking and physical hub quality are absent."
"8","XLSX_ROW_08","Radschnellverbindungsweg München Nord","no","yes","included_in_GTFS2037=no; in_MATSim=nicht modellierbar","not_modelled_by_design","documentation only","docs/methodology/scenario_implementation_register.md; scenarios/munich_fast_track_2040/config_fast_track.xml","No technical action unless a calibrated link-based bicycle model is added project-wide.","Bike is teleported and is not routed on the road links, so a corridor edit would not affect bicycle routes."
"9","XLSX_ROW_09","Umsetzung von 11 Parkmeilen","no","yes","included_in_GTFS2037=no; in_MATSim=nicht modellierbar","not_modelled_by_design","documentation only","docs/methodology/scenario_implementation_register.md","No technical action in the current transport model.","Biodiversity, public-space quality and amenity are outside the current utility and network representation."
"10","XLSX_ROW_10","U26","no","no","included_in_GTFS2037=no; in_MATSim=<blank>","not_modelled_by_design","excluded from both scenarios","original-input-data/mvv_gtfs_2037/Infrastructure_measures.xlsx; docs/methodology/scenario_implementation_register.csv","None unless scenario membership changes.","No approved alignment or timetable is required while the measure remains outside both scenarios."
"11","XLSX_ROW_11","U1 Süd","no","no","included_in_GTFS2037=no; in_MATSim=<blank>","not_modelled_by_design","excluded from both scenarios","original-input-data/mvv_gtfs_2037/Infrastructure_measures.xlsx; docs/methodology/scenario_implementation_register.csv","None unless scenario membership changes.","No approved alignment or timetable is required while the measure remains outside both scenarios."
"12","XLSX_ROW_12","U1 Nord","no","no","included_in_GTFS2037=no; in_MATSim=<blank>","not_modelled_by_design","excluded from both scenarios","original-input-data/mvv_gtfs_2037/Infrastructure_measures.xlsx; docs/methodology/scenario_implementation_register.csv","None unless scenario membership changes.","No approved alignment or timetable is required while the measure remains outside both scenarios."
"13","XLSX_ROW_13","Neue Rolle des Südrings – der Haltepunkt Poccistraße","yes","yes","included_in_GTFS2037=no; in_MATSim=umsetzbar","implemented_directly","new stop on 234 matching regional trips plus eight directed transfers","original-input-data/mvv_gtfs_2037/common_service_specification.csv; src/main/java/org/matsim/project/prepare/BuildCommonGtfs2037Measures.java; src/test/java/org/matsim/project/prepare/BuildCommonGtfs2037MeasuresTest.java","No implementation action; retain regression validation on rebuild.","Proxy platform location and 60-second dwell are documented modelling assumptions."
"14","XLSX_ROW_14","S-Bahn-Nordring","no","yes","included_in_GTFS2037=no; in_MATSim=umsetzbar","implemented_directly","two generated Fast Track rail services with 160 departures","original-input-data/mvv_gtfs_2037/fast_track_service_specification.csv; src/main/java/org/matsim/project/prepare/BuildFastTrackGtfs2037.java; src/test/java/org/matsim/project/prepare/BuildFastTrackGtfs2037Test.java","No implementation action; planned dwell sensitivity is not a missing implementation.","Alignment, stop coordinates and timetable are explicit scenario assumptions; physical capacity is not simulated."
