spec_version,measure_id,logical_stop,planned_parent_id,planned_direction_0_id,planned_direction_1_id,resolution_status,existing_reference_stop_id,stop_lat,stop_lon,coordinate_source,assumption_strength,transfer_target_stop_ids,minimum_transfer_time_seconds,decision_note
2,FT-U9,Münchner Freiheit,107347,FT_U9_MUENCHNER_FREIHEIT_D0,FT_U9_MUENCHNER_FREIHEIT_D1,approved,107347,48.161962,11.586497,"Scenario assumption: cleaned GTFS parent 107347 is used as a spatial proxy for dedicated U9 platforms; it is not an official U9 platform location.",scenario assumption,,,"Decision D4 approved. Existing U3/U6 platforms are not reused because the planned U9 has dedicated platforms under the established interchange parent."
2,FT-U9,Elisabethplatz,106261,FT_U9_ELISABETHPLATZ_D0,FT_U9_ELISABETHPLATZ_D1,approved,106261,48.157660,11.575017,"Scenario assumption: cleaned GTFS surface-transport parent 106261 is used as a spatial proxy for the future underground platforms; it is not an official U9 platform location.",scenario assumption,,,"Decision D5 approved. The established interchange parent is retained while new FT_ platforms distinguish the future subway service from current surface services."
2,FT-U9,Pinakotheken,106284,FT_U9_PINAKOTHEKEN_D0,FT_U9_PINAKOTHEKEN_D1,approved,106284,48.148970,11.571900,"Scenario assumption: cleaned GTFS surface-transport parent 106284 is used as a spatial proxy for the future underground platforms; it is not an official U9 platform location.",scenario assumption,,,"Decision D6 approved. The established interchange parent is retained while new FT_ platforms distinguish the future subway service from current surface services."
2,FT-U9,Hauptbahnhof,106087,FT_U9_HAUPTBAHNHOF_D0,FT_U9_HAUPTBAHNHOF_D1,approved,106087,48.140027,11.561066,"Scenario assumption: cleaned GTFS parent 106087 is used as a spatial proxy for dedicated U9 platforms; it is not an official U9 platform location.",scenario assumption,,,"Decision D7 approved. Existing U1/U2/U4/U5 platforms are not reused because the planned U9 has dedicated platforms under the established multimodal parent."
2,FT-U9,Esperantoplatz,FT_U9_ESPERANTOPLATZ,FT_U9_ESPERANTOPLATZ_D0,FT_U9_ESPERANTOPLATZ_D1,approved,,48.130190,11.553590,"Scenario assumption: centroid proxy for Esperantoplatz square. The official U9 project identifies the station area but does not publish an exact platform coordinate; this is not an official station location.",scenario assumption,,,"Decision D8 approved. A new FT_ parent and two directional FT_ platforms are created at the explicitly approved square-centroid proxy."
2,FT-U9,Impler-/Poccistraße,FT_U9_IMPLER_POCCI,FT_U9_IMPLER_POCCI_D0,FT_U9_IMPLER_POCCI_D1,approved,108587,48.122829,11.549348,"Scenario assumption: rounded midpoint of cleaned GTFS parents Implerstraße 108587 and Poccistraße 106206. The official U9 concept combines the station area but does not publish this coordinate; it is not an official station location.",scenario assumption,106211|106212|108590|108591|108592|BAU_POCCISTRASSE_RAIL_D0|BAU_POCCISTRASSE_RAIL_D1,300,"Decision D9 approved. A new FT_ parent is created. Bidirectional transfer records connect both U9 platforms to every existing U3/U6 platform used at Implerstraße or Poccistraße and to both common regional-rail platforms. The 300-second minimum is a transparent walking-time scenario assumption for the approximately 300-metre proxy separation and is not an operationally validated interchange time."
2,FT-U4-EXT,Cosimapark,107660,FT_U4_COSIMAPARK_D0,FT_U4_COSIMAPARK_D1,approved,107660,48.153603,11.629401,"Scenario assumption: cleaned GTFS parent Cosimabad 107660 is used as the approved spatial proxy for Cosimapark; it is not an official future U4 station location.",scenario assumption,,,"Decision D10 approved. New FT_ U4 platforms are placed under the existing Cosimabad parent so that the proxy remains distinguishable from current surface-service platforms."
2,FT-U4-EXT,Englschalking,157857,FT_U4_ENGLSCHALKING_D0,FT_U4_ENGLSCHALKING_D1,approved,157857,48.156551,11.648400,"Scenario assumption: cleaned GTFS S-Bahn parent 157857 is used as a spatial proxy for dedicated future U4 platforms; it is not an official U4 platform location.",scenario assumption,,,"Decision D11 approved. Existing S8 platform 157858 is not reused; two FT_ U4 platforms are added under the established interchange parent."
2,FT-NR-A,Lassallestraße,106958,FT_NR_LASSALLESTRASSE_D0,FT_NR_LASSALLESTRASSE_D1,approved,106958,48.187045,11.533901,"Scenario assumption: cleaned GTFS bus parent 106958 is used as the approved spatial proxy for the future Nordring station; it is not an official rail-station location.",scenario assumption,,,"Decision D1 approved. New FT_ rail platforms are added under the existing parent; bus platforms are not reused as rail platforms."
2,FT-NR-B,Lassallestraße,106958,FT_NR_LASSALLESTRASSE_D0,FT_NR_LASSALLESTRASSE_D1,approved,106958,48.187045,11.533901,"Scenario assumption: cleaned GTFS bus parent 106958 is used as the approved spatial proxy for the future Nordring station; it is not an official rail-station location.",scenario assumption,,,"Decision D1 applies identically to both Nordring services."
2,FT-NR-A,BMW-FIZ,107777,FT_NR_BMW_FIZ_D0,FT_NR_BMW_FIZ_D1,approved,107777,48.193476,11.569959,"Scenario assumption: cleaned GTFS bus parent 107777 is used as the approved spatial proxy for the future Nordring station; it is not an official rail-station location.",scenario assumption,,,"Decision D2 approved. New FT_ rail platforms are added under the existing parent; bus platforms are not reused as rail platforms."
2,FT-NR-B,BMW-FIZ,107777,FT_NR_BMW_FIZ_D0,FT_NR_BMW_FIZ_D1,approved,107777,48.193476,11.569959,"Scenario assumption: cleaned GTFS bus parent 107777 is used as the approved spatial proxy for the future Nordring station; it is not an official rail-station location.",scenario assumption,,,"Decision D2 applies identically to both Nordring services."
2,FT-NR-A,Euro-Industriepark,107187,FT_NR_EURO_INDUSTRIEPARK_D0,FT_NR_EURO_INDUSTRIEPARK_D1,approved,107187,48.192638,11.584036,"Scenario assumption: cleaned GTFS bus parent Euro-Industriepark West 107187 is used as the approved spatial proxy for the future Nordring station; it is not an official rail-station location.",scenario assumption,,,"Decision D3 approved. Euro-Industriepark Nord 107298 is not used. New FT_ rail platforms are added under parent 107187; bus platforms are not reused as rail platforms."
2,FT-NR-B,Euro-Industriepark,107187,FT_NR_EURO_INDUSTRIEPARK_D0,FT_NR_EURO_INDUSTRIEPARK_D1,approved,107187,48.192638,11.584036,"Scenario assumption: cleaned GTFS bus parent Euro-Industriepark West 107187 is used as the approved spatial proxy for the future Nordring station; it is not an official rail-station location.",scenario assumption,,,"Decision D3 applies identically to both Nordring services."
