approved_rank,hub_id,mp_id,lhm_location_name,size_class,matsim_interchange_node,approved_stop_area_ids,explicitly_confirmed_stop_facility_ids,proxy_assignment,proxy_reason,reduction_factor,minimum_transfer_time_s,scenario,decision_status,evidence_note
1,FT_MH_OSTBAHNHOF,506,Ostbahnhof/Belfortstraße,large,Ostbahnhof station complex,106075;107900;182907,,no,not applicable,0.20,60,FAST_TRACK_2040,approved,"LHM source point and final node review; the main Ostbahnhof, Ostbahnhof (Post), and second-trunk-line StopAreas form one approved station complex."
2,FT_MH_ZOB_HACKERBRUECKE,312,ZOB,large,ZOB / Hackerbrücke station complex,106097;181029,,no,not applicable,0.20,60,FAST_TRACK_2040,approved,"LHM source point and final node review; the ZOB and Hackerbrücke StopAreas form one approved interchange complex."
3,FT_MH_MOOSACH,1002,Moosach Bahnhof,large,Moosach station complex,106857,,no,not applicable,0.20,60,FAST_TRACK_2040,approved,LHM source point and complete MATSim StopArea confirmed by the final node review.
4,FT_MH_MUENCHNER_FREIHEIT,62,Münchner Freiheit,large,Münchner Freiheit,107347,,no,not applicable,0.20,60,FAST_TRACK_2040,approved,LHM source point and complete MATSim StopArea confirmed by the final node review.
5,FT_MH_ROSENHEIMER_PLATZ,503,Rosenheimer Platz,medium,Rosenheimer Platz,106069,,no,not applicable,0.15,60,FAST_TRACK_2040,approved,LHM source point and complete MATSim StopArea confirmed by the final node review.
6,FT_MH_ISARTOR,203,Baaderstraße,medium,Isartor,106063,,yes,"The LHM point at Baaderstraße 2 has no separate MATSim interchange; Isartor is the approved served-node proxy within the reviewed 150 m assignment.",0.15,60,FAST_TRACK_2040,approved,LHM source point and approved Baaderstraße-to-Isartor proxy from the final node review.
7,FT_MH_GIESING,49,Giesinger Bahnhof,medium,Giesing station complex,108495,,no,not applicable,0.15,60,FAST_TRACK_2040,approved,LHM source point and complete MATSim StopArea confirmed by the final node review.
8,FT_MH_SCHEIDPLATZ,402,Scheidplatz,medium,Scheidplatz / Scheidplatz Süd station complex,107135;107140,,no,not applicable,0.15,60,FAST_TRACK_2040,approved,"LHM source point and final node review; Scheidplatz and Scheidplatz Süd form one approved interchange complex."
9,FT_MH_HOHENZOLLERNPLATZ,401,Hohenzollernplatz,small,Hohenzollernplatz,106583,106586;106587,no,not applicable,0.10,60,FAST_TRACK_2040,approved,"LHM source point and complete StopArea 106583; U2 facilities 106586 and 106587 were confirmed in the full Fast Track schedule after the initial platform-radius omission."
10,FT_MH_GRILLPARZERSTRASSE,510,Grillparzerstraße,small,Grillparzerstraße,106184,,no,not applicable,0.10,60,FAST_TRACK_2040,approved,LHM source point and complete MATSim StopArea confirmed by the final node review.
11,FT_MH_ROTKREUZPLATZ,27,Rotkreuzplatz,small,Rotkreuzplatz,106659,,no,not applicable,0.10,60,FAST_TRACK_2040,approved,LHM source point and complete MATSim StopArea confirmed by the final node review.
12,FT_MH_ODEONSPLATZ,1,Galeriestraße,small,Odeonsplatz,106319,,yes,"The LHM Galeriestraße point is within 150 m of Odeonsplatz and its LHM bus/U-Bahn function matches that node; the separate Von-der-Tann-Straße surface stop is excluded.",0.10,60,FAST_TRACK_2040,approved,LHM source point and explicitly approved Galeriestraße-to-Odeonsplatz proxy from the final node review.
