parameter_key,parameter_group,parameter,required_value,unit_or_scope,authoritative_source,production_rule,notes
calibration.asc.car,scoring,car alternative-specific constant,-0.35175057259662179,utils,scenarios/munich_calibration_2019/config_literature_based_scoring_calibration_round_5.xml,IDENTICAL,Round 5 frozen value
calibration.asc.pt,scoring,pt alternative-specific constant,0.16187543976517921,utils,scenarios/munich_calibration_2019/config_literature_based_scoring_calibration_round_5.xml,IDENTICAL,Round 5 frozen value
calibration.asc.bike,scoring,bike alternative-specific constant,-1.2617442557140233,utils,scenarios/munich_calibration_2019/config_literature_based_scoring_calibration_round_5.xml,IDENTICAL,Round 5 frozen value
calibration.asc.walk,scoring,walk alternative-specific constant,0.0,utils,scenarios/munich_calibration_2019/config_literature_based_scoring_calibration_round_5.xml,IDENTICAL,Walk is the permanent reference alternative
scoring.brainExpBeta,scoring,BrainExpBeta,1.0,dimensionless,scenarios/munich_calibration_2019/config_literature_based_scoring_calibration_round_5.xml,IDENTICAL,Frozen structural scoring
scoring.learningRate,scoring,learningRate,1.0,dimensionless,scenarios/munich_calibration_2019/config_literature_based_scoring_calibration_round_5.xml,IDENTICAL,Frozen structural scoring
scoring.performing,scoring,marginal utility of performing,6.0,utils/hour,scenarios/munich_calibration_2019/config_literature_based_scoring_calibration_round_5.xml,IDENTICAL,Inherited literature-based diagnostic value
scoring.money,scoring,marginal utility of money,1.0,utils/money_unit,scenarios/munich_calibration_2019/config_literature_based_scoring_calibration_round_5.xml,IDENTICAL,Inherited literature-based diagnostic value
scoring.waiting,scoring,marginal utility of waiting,-0.0,utils/hour,scenarios/munich_calibration_2019/config_literature_based_scoring_calibration_round_5.xml,IDENTICAL,General waiting term
scoring.waiting_pt,scoring,marginal utility of PT waiting,-6.0,utils/hour,scenarios/munich_calibration_2019/config_literature_based_scoring_calibration_round_5.xml,IDENTICAL,Additional PT waiting disutility
scoring.line_switch,scoring,utility of line switch,-1.0,utils/transfer,scenarios/munich_calibration_2019/config_literature_based_scoring_calibration_round_5.xml,IDENTICAL,Frozen PT transfer term
scoring.early_departure,scoring,early departure,-0.0,utils/hour,scenarios/munich_calibration_2019/config_literature_based_scoring_calibration_round_5.xml,IDENTICAL,Inherited technical setting
scoring.late_arrival,scoring,late arrival,-18.0,utils/hour,scenarios/munich_calibration_2019/config_literature_based_scoring_calibration_round_5.xml,IDENTICAL,Inherited technical setting
scoring.subpopulation,scoring,scoring subpopulation,null,default population,scenarios/munich_calibration_2019/config_literature_based_scoring_calibration_round_5.xml,IDENTICAL,The frozen scoring parameters apply to the default population
scoring.mode.ride.constant,mode_scoring,ride constant,0.0,utils,scenarios/munich_calibration_2019/config_literature_based_scoring_calibration_round_5.xml,IDENTICAL,Ride is retained for technical compatibility and is not a mode-choice alternative
scoring.mode.other.constant,mode_scoring,other constant,0.0,utils,scenarios/munich_calibration_2019/config_literature_based_scoring_calibration_round_5.xml,IDENTICAL,Other is retained for technical compatibility and is not a mode-choice alternative
scoring.mode.car.travel_time,mode_scoring,car marginal utility of travelling,0.0,utils/hour,scenarios/munich_calibration_2019/config_literature_based_scoring_calibration_round_5.xml,IDENTICAL,Travel still displaces activity time
scoring.mode.pt.travel_time,mode_scoring,pt marginal utility of travelling,0.0,utils/hour,scenarios/munich_calibration_2019/config_literature_based_scoring_calibration_round_5.xml,IDENTICAL,Travel still displaces activity time
