source_row,measure_id,measure_name,scenario_membership,current_status,representation_mechanism,implementation_file,evidence_found,remaining_action,required_evidence_or_assumption,validation_method,double_counting_risk,priority
5,XLSX_ROW_05,Autonomous public transport,Fast Track,intentionally not modelled,documentation only,original-input-data/mvv_gtfs_2037/Infrastructure_measures.xlsx,"No automation attribute, autonomous vehicle type, or explicit service increment is defined.",Retain as an excluded technology narrative unless a quantified service change is approved.,Evidence would need a route-specific frequency travel-time capacity or cost effect; automation itself is outside MATSim passenger assignment.,Confirm no scenario-specific vehicle or schedule rule and document exclusion.,none,exclude
6,XLSX_ROW_06,Pedestrian zones,Fast Track,implemented and tested,car network,original-input-data/mvv_gtfs_2037/fast_track_pedestrian_zone_links.csv,"The Fast Track build removes car and no other modes from 11 Herzog-Wilhelm-Straße links and one Kreuzstraße link plus technical boundary connector 126449; BAU remains byte-identical.","Retain the link-level restriction and interpret it only as a car-access change; connector 126449 removes an unreachable one-way residual link and is not an additional spatial pedestrian-zone assumption; pedestrian amenity is not represented.",Official sources establish the planned areas while current OSM supplies technical geometry and network topology supplies the boundary-connector classification; delivery emergency resident taxi bicycle and phasing rules remain outside the approved link-mode assumption.,Assert the exact 13-link specification before and after readback; normalize only those car-mode removals against the shared base-road digest; require one routable component for all remaining car links; require directed car connectivity across four perimeter nodes and zero explicit activity-link references.,none,complete
7,XLSX_ROW_07,Mobility hubs,Fast Track,implemented and tested,existing transit-schedule transfer times,original-input-data/fast_track_2040_sources/mobility_hubs/approved_mobility_hubs.csv,"The final Fast Track schedule post-processor changes exactly 790 existing directed cross-stop minimalTransferTimes across twelve approved hubs; 103 self-relations including two zero-second Ostbahnhof self-relations remain unchanged; the relation set and schedule structure IDs are preserved.",Retain the approved implementation and treat later variation only as explicit sensitivity analysis.,"The 4/4/4 classes and 20/15/10 percent reductions are approved model assumptions; MCube's 10-20 percent perceived-PT-time range is orientation only and its modal-split effects are not imported.","Run the focused ten-test class; analyze against all three review CSVs; rebuild through temporary write/readback; verify 95912 unchanged relations and protected hashes; run the two-person iteration-zero Fast Track smoke test.",none because no agents facilities or demand are added,complete
8,XLSX_ROW_08,Munich North cycle express route,Fast Track,intentionally not modelled,documentation only,original-input-data/mvv_gtfs_2037/Infrastructure_measures.xlsx,"The matrix itself records that bicycle routing is not link-based in the current setup; QSim main mode remains car.",Exclude from the main comparison unless a calibrated bicycle-network and routing module is introduced.,Official alignment and a project-wide calibrated bicycle representation would be required.,Document exclusion; if later implemented compare bicycle connectivity and travel times.,none,exclude
9,XLSX_ROW_09,Eleven park corridors,Fast Track,intentionally not modelled,documentation only,original-input-data/mvv_gtfs_2037/Infrastructure_measures.xlsx,"Amenity biodiversity and public-space quality are outside the current network and utility representation.",Exclude from quantified MATSim effects and retain as contextual policy information.,A separate land-use or pedestrian-accessibility method would be required; arbitrary scoring changes are not acceptable.,Methodological exclusion check only.,none,exclude
10,XLSX_ROW_10,U26,Neither,intentionally not modelled,documentation only,original-input-data/mvv_gtfs_2037/Infrastructure_measures.xlsx,"The matrix excludes the measure from BAU and Fast Track and no U26 route exists.",None unless scenario membership changes.,A revised scenario decision and an evidenced alignment and timetable would be required.,Assert absence from both transit schedules.,none,exclude
11,XLSX_ROW_11,U1 South extension,Neither,intentionally not modelled,documentation only,original-input-data/mvv_gtfs_2037/Infrastructure_measures.xlsx,"The matrix excludes the measure from BAU and Fast Track.",None unless scenario membership changes.,A revised scenario decision and an evidenced alignment and timetable would be required.,Assert no scenario-specific extension beyond the baseline U1 pattern.,none,exclude
12,XLSX_ROW_12,U1 North extension,Neither,intentionally not modelled,documentation only,original-input-data/mvv_gtfs_2037/Infrastructure_measures.xlsx,"The matrix excludes the measure from BAU and Fast Track.",None unless scenario membership changes.,A revised scenario decision and an evidenced alignment and timetable would be required.,Assert no scenario-specific extension beyond the baseline U1 pattern.,none,exclude
13,XLSX_ROW_13,Poccistraße regional-rail stop,BAU and Fast Track,implemented and tested,GTFS/transit schedule,original-input-data/mvv_gtfs_2037/common_service_specification.csv,"Dedicated rail-platform records are inserted in 234 matching regional trips while existing bus and U-Bahn platforms remain distinct.",Retain and include in the later scenario smoke test.,"Excel row 13 supplies the six route IDs; parent 106206 is an explicit scenario-assumption coordinate proxy; 2934 positive current-GTFS observations support 60 seconds dwell; no separate braking penalty is identifiable.",Rebuild both feeds; validate references monotone times exact affected-trip counts MATSim read-back and routed 180-second regional-to-U3/U6 transfer.,none,complete
14,XLSX_ROW_14,S-Bahn Nordring,Fast Track,implemented and tested,GTFS/transit schedule,original-input-data/mvv_gtfs_2037/generated/gtfs2037_munich_fast_track.zip,"FT_NR_A and FT_NR_B each contain 80 departures and passed GTFS MATSim reference routing and smoke validation.",Retain; conduct the documented 60-second dwell sensitivity later.,Approved scenario timetable and proxy station decisions are already documented.,Validate counts stop patterns references complete-line routes and later sensitivity results.,none,complete
