difference_id,parameter_or_file,bau_value,fast_track_value,measure,effect_mechanism,methodological_justification,status,evidence
run_id,controller.runId,munich-bau-2040,munich-fast-track-2040,Scenario identity,Separates outputs and provenance,Required to distinguish the two controlled scenarios,ALLOWED_DIFFERENCE,scenarios/munich_bau_2040/config_bau.xml;scenarios/munich_fast_track_2040/config_fast_track.xml
output_directory,controller.outputDirectory,scenario-specific protected BAU directory,scenario-specific protected Fast Track directory,Scenario identity,Prevents collision and overwrite,Each scenario must publish to its own fail-if-exists directory,ALLOWED_DIFFERENCE,docs/methodology/production_2040_scenario_contract.md
population_file,plans.inputPlansFile,scenarios/munich_bau_2040/population_2040.xml,scenarios/munich_fast_track_2040/population_2040_fast_track.xml,Olympic Village and Media Village,Relocates documented home and work activities without creating persons,Fast Track land-use demand is the only approved population difference,ALLOWED_DIFFERENCE,docs/methodology/population_2040.md;docs/methodology/scenario_implementation_register.md
population_olympic_village,population activity locations,unchanged BAU activities,525 home and 175 work persons relocated to Olympic Village,Olympic Village,Changes spatial demand at an existing network anchor,Partially represents the approved Fast Track village assumption without changing person count or trip structure,ALLOWED_DIFFERENCE,docs/methodology/population_2040.md
population_media_village,population activity locations,unchanged BAU activities,175 home and 58 work persons relocated to Media Village,Media Village,Changes spatial demand at an existing network anchor,Partially represents the approved Fast Track village assumption without changing person count or trip structure,ALLOWED_DIFFERENCE,docs/methodology/population_2040.md
combined_network_file,network.inputNetworkFile,scenarios/munich_bau_2040/input_transit/network-with-pt.xml.gz,scenarios/munich_fast_track_2040/input_transit/network-with-pt.xml.gz,Transit pseudonetwork and pedestrian zones,Reflects scenario-specific transit routes and removes car from approved Fast Track links,The common road source is protected and only documented Fast Track transformations are allowed,ALLOWED_DIFFERENCE,docs/gtfs2040/matsim_2040_transit_inputs.md
pedestrian_zone_links,network allowed modes,no car-mode removals,"car removed from 12 spatial links and technical connector 126449",Fast Track pedestrian zones,Changes car route availability on the approved links only,This is the tested link-level representation; public-space effects are not modelled,ALLOWED_DIFFERENCE,original-input-data/mvv_gtfs_2037/fast_track_pedestrian_zone_links.csv
transit_schedule_file,transit.transitScheduleFile,scenarios/munich_bau_2040/input_transit/transitSchedule.xml.gz,scenarios/munich_fast_track_2040/input_transit/transitSchedule.xml.gz,Fast Track public-transport package,Changes services routes departures stops and approved transfer times,The compared policy package requires scenario-specific schedules,ALLOWED_DIFFERENCE,docs/gtfs2040/matsim_2040_transit_inputs.md
fast_track_u9,transit schedule,no FT_U9 line,FT_U9 with 520 departures,U9 relief line,Adds a new rapid-transit alternative,Implemented and tested Fast Track measure,ALLOWED_DIFFERENCE,docs/gtfs2040/matsim_2040_transit_inputs.md
fast_track_u4_extension,transit schedule,common U4 service,U4 extended with Cosimapark and Englschalking platforms,U4 extension to Messestadt West,Extends rapid-transit connectivity,Implemented and tested Fast Track measure,ALLOWED_DIFFERENCE,docs/gtfs2040/matsim_2040_transit_inputs.md
fast_track_nordring,transit schedule,no FT Nordring lines,FT_NR_A and FT_NR_B with 80 departures each,S-Bahn Nordring,Adds two documented services,Implemented and tested Fast Track measure,ALLOWED_DIFFERENCE,docs/gtfs2040/matsim_2040_transit_inputs.md
mobility_hub_transfers,transit schedule transfer times,common transfer times,790 existing directed cross-stop transfer times reduced,Mobility Hubs,Reduces the transfer-time proxy at twelve approved hubs,Transparent Fast Track modelling assumption with no invented relations,ALLOWED_DIFFERENCE,docs/methodology/mobility_hubs_fast_track.md
transit_vehicle_file,transit.vehiclesFile,scenarios/munich_bau_2040/input_transit/transitVehicles.xml.gz,scenarios/munich_fast_track_2040/input_transit/transitVehicles.xml.gz,Fast Track public-transport package,Provides vehicles referenced by each scenario schedule,Vehicle files must correspond exactly to their validated schedules,ALLOWED_DIFFERENCE,docs/gtfs2040/matsim_2040_transit_inputs.md
scoring_and_asc,all scoring parameters,Round 5 frozen values,Round 5 frozen values,None,Would alter behaviour rather than infrastructure,Comparative identification requires identical frozen behavioural parameters,NOT_ALLOWED,docs/methodology/production_2040_shared_parameters.csv
mode_choice,choice modes behavior chain modes and car availability,Round 5 frozen values,Round 5 frozen values,None,Would alter choice availability or consistency,Mode-choice mechanics must be common to both scenarios,NOT_ALLOWED,docs/methodology/production_2040_shared_parameters.csv
strategies,replanning strategies and weights,0.8 ChangeExpBeta;0.1 ReRoute;0.1 SubtourModeChoice,0.8 ChangeExpBeta;0.1 ReRoute;0.1 SubtourModeChoice,None,Would alter learning and innovation exposure,The same behavioural experiment must run in both scenarios,NOT_ALLOWED,docs/methodology/production_2040_shared_parameters.csv
random_seed,global.randomSeed,4711,4711,None,Would change stochastic realization,The paired comparison must use the same seed,NOT_ALLOWED,docs/methodology/production_2040_shared_parameters.csv
iterations,controller first and last iteration,0-60,0-60,None,Would change adaptation opportunity,The paired comparison must use the same run length,NOT_ALLOWED,docs/methodology/production_2040_shared_parameters.csv
innovation_switch,replanning innovation disable fraction,0.8; inactive from iteration 49,0.8; inactive from iteration 49,None,Would change the replanning phase,The paired comparison must use the same innovation window,NOT_ALLOWED,docs/methodology/production_2040_shared_parameters.csv
